Business_Name,Business_Link,Business_Categories,Business_Location,Business_Description,Page_Number,Scraped_At
ACREW,https://www.yatco.com/business-services/acrew-22657/,Event & Party Planners,"1 Carrer de Mateu Enric Lladó, Palma, Balearic Islands, 07002, Spain","Over 5,000 vessels and over 55,000 captains, crew and brokers perceive ACREW as the community of superyacht professionals with a focus on acknowledging and empowering them through professional and personal development, networking and social activities.",1,10/07/2025 19:10
ALTRALUCE INTERNATIONAL,https://www.yatco.com/business-services/altraluce-international-50439/,Lighting,"Via Leonardo da Vinci 74 A/B, Florence, 50028, Italy","Based in Tuscany, in the heart of the Chianti region, we blend Italian craftsmanship with cutting-edge research. 100% Made in Italy, a guarantee of style and innovation.",1,10/07/2025 19:10
Avikus,https://www.yatco.com/business-services/avikus-15314/,,"2019 SW 20th Street, Fort Lauderdale, Florida, 33315, United States","NEUBOAT Dock II, Avikus' smart docking tech, uses AI, sensor fusion, and 6 cameras for safe, autonomous docking—named a 2025 Boating Industry Top Product.",1,10/07/2025 19:10
Boatdeck,https://www.yatco.com/business-services/boatdeck-50249/,Website Development,", Sydney, New South Wales,, Australia",,1,10/07/2025 19:10
Boathouse Auctions,https://www.yatco.com/business-services/boathouse-auctions-50440/,Boat Auctions,"520 Fulling Mill Lane, Fairfield, Connecticut, 06824, United States","Boathouse Auctions is an online auction platform for high-quality yachts, combining traditional brokerage with auction benefits. Carrying costs are eliminated by marketing vessels extensively with brokers, to facilitate final sales through a 4-week process.",1,10/07/2025 19:10
Cara Lees Yacht Crew Ltd,https://www.yatco.com/business-services/cara-lees-yacht-crew-ltd-50506/,Recruitment,", Scotland,, United Kingdom","Cara Lees Yacht Crew. A bespoke, attentive and personalized yacht crew recruitment service.",1,10/07/2025 19:10
e3 Systems,https://www.yatco.com/business-services/e3-systems-19319/,"Communications, Visual Systems, Cell Phones, Data Roaming, Data Recovery, Global Service Providers","2 Carrer Calvià, Portals Nous, Balearic Islands, 07181, Spain",,1,10/07/2025 19:10
Eco Yacht Group,https://www.yatco.com/business-services/eco-yacht-group-15100/,Docks,"670 Lido Park Drive, Newport Beach, California, 92663, United States","Revolutionizing maritime maintenance worldwide with over 1,000 units sold in 14 countries. ECO Dry Dock offers eco-friendly systems for boats 18'-100', plus custom builds for larger vessels. Sustainable, hassle-free and backed by expert support and training.",1,10/07/2025 19:10
"FarSounder, Inc.",https://www.yatco.com/business-services/farsounder-inc-50330/,,"151 Lavan Street, Warwick, Rhode Island, 02888, United States","Develops and manufactures Argos 3D Forward Looking Navigation Sonars. Argos systems detect in-water hazards and shallows up to 1000m ahead in real time. In turn, yachts can navigate safely and avoid whales, reefs, ice, rocks, shipping containers, and more.",1,10/07/2025 19:10
Fleurs Santa Catalina,https://www.yatco.com/business-services/fleurs-santa-catalina-25035/,Florist,"19 Carrer d'Anníbal, Palma, Balearic Islands, 07013, Spain","Fleurs Santa Catalina se especializa en decoracion floral para yates, ofreciendo arreglos elegantes y personalizados para eventos nauticos. Ademas de bodas y eventos, proporcionan un toque floral unico para el sector nautico.",1,10/07/2025 19:10
